Loyalty Number,Total Flights_sum,Total Flights_mean,Total Flights_std,Total Flights_max,Distance_sum,Distance_mean,Points Accumulated_sum,Points Accumulated_mean,Points Redeemed_sum,Points Redeemed_mean,max_inactive_streak,flight_trend,redemption_ratio,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,cluster
102308,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,Canada,Quebec,Montreal,H2T 2J6,Male,College,,Single,Star,12866.89,Standard,2018,11,,,0
102311,51,2.125,1.8489127239730825,6,83581,3482.5416666666665,83581.0,3482.5416666666665,1396,58.16666666666666,2,-0.0778260869565218,0.0167023605843433,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,76485.0,Single,Star,7507.46,Standard,2016,10,,,1
102376,73,6.636363636363637,8.102749252849026,24,79580,7234.545454545455,119370.0,10851.818181818182,556,50.54545454545455,3,0.6090909090909092,0.0046577867135796,Canada,Ontario,Sudbury,M5V 1G5,Male,College,,Single,Aurora,12765.78,2018 Promotion,2018,3,,,2
102464,14,0.5833333333333334,0.9743076322798876,3,17067,711.125,17067.0,711.125,761,31.70833333333333,5,0.0069565217391304,0.0445889728716236,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,60563.0,Married,Star,2725.68,Standard,2016,7,,,3
102615,2,0.0833333333333333,0.408248290463863,2,4556,189.83333333333331,4556.0,189.83333333333331,0,0.0,21,0.0165217391304347,0.0,Canada,Saskatchewan,Regina,S1J 3C5,Female,Doctor,51630.0,Married,Aurora,7590.05,Standard,2018,9,,,0
102726,21,0.875,1.4540049638094803,4,25020,1042.5,25020.0,1042.5,1426,59.41666666666666,11,0.0969565217391304,0.0569944044764188,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,84147.0,Married,Nova,8044.87,Standard,2017,8,,,1
102730,27,1.125,1.752327644566804,6,41890,1745.4166666666667,41890.0,1745.4166666666667,0,0.0,14,0.1778260869565217,0.0,Canada,New Brunswick,Moncton,E1A 2A7,Male,High School or Below,80919.0,Single,Star,2453.57,Standard,2017,12,,,4
102740,5,0.2083333333333333,0.832970935693524,4,8927,371.9583333333333,8927.0,371.9583333333333,0,0.0,21,0.0482608695652174,0.0,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,100571.0,Married,Star,16922.13,Standard,2018,6,,,4
102788,84,7.636363636363637,7.59305903141451,20,135657,12332.454545454546,203485.5,18498.68181818182,0,0.0,1,0.6454545454545457,0.0,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,31170.0,Single,Nova,11124.21,2018 Promotion,2018,3,,,2
102851,39,1.625,1.498187310516046,4,53975,2248.958333333333,53975.0,2248.958333333333,1247,51.958333333333336,2,-0.0134782608695652,0.0231032885595182,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,60216.0,Single,Star,19435.63,Standard,2014,8,,,1
102877,45,1.875,1.9849980834510517,6,75358,3139.9166666666665,75358.0,3139.9166666666665,908,37.833333333333336,3,-0.0647826086956522,0.0120491520475596,Canada,Ontario,Trenton,K8V 4B2,Female,College,,Married,Nova,2863.04,Standard,2014,7,,,3
102982,29,1.2083333333333333,1.7687914485336582,5,34835,1451.4583333333333,34835.0,1451.4583333333333,0,0.0,7,0.1039130434782608,0.0,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,84442.0,Married,Aurora,5235.57,Standard,2016,11,,,4
103043,43,1.7916666666666667,1.5597983890531344,5,66356,2764.833333333333,66356.0,2764.833333333333,449,18.70833333333333,4,-0.07,0.0067665320393031,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,97920.0,Married,Star,3351.21,Standard,2018,12,,,3
103151,31,1.2916666666666667,1.334465099374755,4,52486,2186.9166666666665,52486.0,2186.9166666666665,912,38.0,4,-0.0056521739130434,0.017376062188012,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,64962.0,Married,Aurora,32613.69,Standard,2013,5,,,1
103217,36,1.5,1.7937088125857623,4,56399,2349.958333333333,56399.0,2349.958333333333,0,0.0,3,0.057391304347826,0.0,Canada,Quebec,Montreal,H2T 2J6,Male,College,,Single,Star,6439.33,Standard,2013,10,,,4
103304,37,1.5416666666666667,1.4738050920238277,5,62563,2606.7916666666665,62563.0,2606.7916666666665,947,39.458333333333336,1,-0.0152173913043478,0.0151367421638987,Canada,Alberta,Banff,T4V 1D4,Male,Bachelor,67227.0,Married,Star,2683.47,Standard,2013,10,,,3
103340,44,1.8333333333333333,2.035909510816206,6,62122,2588.4166666666665,62122.0,2588.4166666666665,0,0.0,3,-0.0652173913043478,0.0,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,7577.07,Standard,2017,3,,,4
103352,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,69742.0,Married,Aurora,5555.49,Standard,2014,11,2015.0,9.0,0
103359,53,2.208333333333333,1.7932037558919307,5,82249,3427.0416666666665,82249.0,3427.0416666666665,564,23.5,3,0.0839130434782608,0.0068572262276745,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Single,Star,4502.87,Standard,2016,3,,,3
103362,3,0.125,0.6123724356957945,3,4485,186.875,4485.0,186.875,0,0.0,22,0.027391304347826,0.0,Canada,Quebec,Tremblant,H5Y 2S9,Male,College,,Single,Star,4807.0,Standard,2018,10,,,0
103383,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,Canada,Ontario,Kingston,M9K 2P4,Male,Doctor,65018.0,Married,Aurora,13466.92,Standard,2015,6,2016.0,2.0,0
103436,49,2.0416666666666665,1.8292114401439827,6,86455,3602.2916666666665,86455.0,3602.2916666666665,902,37.583333333333336,2,0.0369565217391304,0.0104331733271644,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67445.0,Single,Star,5015.01,Standard,2013,5,,,3
103490,45,1.875,1.701980943029264,5,74308,3096.1666666666665,74308.0,3096.1666666666665,0,0.0,2,0.0543478260869565,0.0,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,High School or Below,65543.0,Single,Nova,17651.96,Standard,2013,7,,,4
103502,18,0.75,1.2597446256043845,4,30244,1260.1666666666667,30244.0,1260.1666666666667,344,14.333333333333334,6,0.0321739130434782,0.0113741568575585,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,66226.0,Married,Star,2580.85,Standard,2017,5,,,3
103536,59,2.458333333333333,1.7687914485336578,6,80954,3373.083333333333,80954.0,3373.083333333333,539,22.45833333333333,3,0.0178260869565217,0.006658102132075,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Married,Nova,9202.64,Standard,2012,10,,,1
103699,24,1.0,1.6939791077198396,5,36719,1529.9583333333333,36719.0,1529.9583333333333,0,0.0,13,0.1356521739130435,0.0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,86388.0,Single,Nova,5595.39,Standard,2018,1,,,4
103731,33,1.375,1.4688800821211287,5,53860,2244.1666666666665,53860.0,2244.1666666666665,489,20.375,4,-0.0352173913043478,0.0090790939472707,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,90487.0,Married,Nova,4015.34,Standard,2016,1,,,3
103758,18,0.75,1.6218615177038684,5,27295,1137.2916666666667,27295.0,1137.2916666666667,0,0.0,18,0.1269565217391304,0.0,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,103461.0,Single,Star,14727.51,Standard,2018,6,,,4
103823,42,1.75,1.7257638510425517,5,57809,2408.708333333333,57809.0,2408.708333333333,1014,42.25,2,-0.0243478260869565,0.0175405213721046,Canada,Ontario,Toronto,M1R 4K3,Female,High School or Below,52820.0,Married,Nova,4812.53,Standard,2014,10,,,3
103860,40,1.6666666666666667,1.5788456616111677,5,65428,2726.1666666666665,65428.0,2726.1666666666665,1794,74.75,2,-0.028695652173913,0.0274194534450082,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,75348.0,Married,Nova,3358.53,Standard,2014,5,,,3
103862,37,1.5416666666666667,1.6412923504696368,6,69191,2882.958333333333,69191.0,2882.958333333333,2686,111.91666666666669,3,0.0395652173913043,0.0388200777557774,Canada,Ontario,Kingston,M9K 2P4,Female,Doctor,299560.0,Married,Star,4878.83,Standard,2013,7,,,3
103916,36,1.5,1.9110661718118185,6,54436,2268.1666666666665,54436.0,2268.1666666666665,892,37.16666666666666,4,-0.0208695652173913,0.0163862150047762,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,60894.0,Married,Star,3803.92,Standard,2014,3,,,3
103969,33,1.375,1.438976085247091,5,46744,1947.6666666666667,46744.0,1947.6666666666667,1131,47.125,3,-0.0473913043478261,0.0241956186890296,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,52405.0,Married,Aurora,31410.93,Standard,2015,4,,,1
103970,45,1.875,1.6235361299390263,5,56234,2343.083333333333,56234.0,2343.083333333333,0,0.0,4,0.058695652173913,0.0,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Doctor,221857.0,Married,Aurora,8257.67,Standard,2015,10,,,4
103975,15,0.625,1.4688800821211287,5,18061,752.5416666666666,18061.0,752.5416666666666,1102,45.91666666666666,20,0.127391304347826,0.0610154476496318,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,71775.0,Married,Star,2411.26,Standard,2018,8,,,3
103985,4,0.1666666666666666,0.4815434123430768,2,6269,261.2083333333333,6269.0,261.2083333333333,0,0.0,20,0.0339130434782608,0.0,Canada,Ontario,Toronto,M2Z 4K1,Male,College,,Single,Nova,2761.69,Standard,2018,9,,,0
104103,32,1.3333333333333333,1.7856107630448046,5,40470,1686.25,40470.0,1686.25,742,30.916666666666668,4,-0.0573913043478261,0.0183345688164072,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Nova,8262.88,Standard,2016,5,,,1
104267,38,3.4545454545454546,5.317210478505367,16,61606,5600.545454545455,92409.0,8400.818181818182,0,0.0,4,0.0363636363636364,0.0,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,28642.0,Married,Star,2701.04,2018 Promotion,2018,3,,,2
104353,42,1.75,1.4817733206914758,4,73980,3082.5,73980.0,3082.5,526,21.916666666666668,3,-0.0304347826086957,0.0071100297377669,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,104140.0,Married,Star,15777.89,Standard,2014,1,,,1
104431,43,1.7916666666666667,1.864523873636999,6,77644,3235.1666666666665,77644.0,3235.1666666666665,1771,73.79166666666667,4,0.0291304347826086,0.0228092318788315,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Doctor,243591.0,Married,Nova,2822.59,Standard,2014,11,,,3
104541,34,1.4166666666666667,1.3805061033727,4,40283,1678.4583333333333,40283.0,1678.4583333333333,1472,61.333333333333336,4,0.1104347826086956,0.0365414691060745,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,64827.0,Married,Nova,8621.0,Standard,2013,3,,,1
104586,40,1.6666666666666667,1.9708013524996608,7,65640,2735.0,65640.0,2735.0,473,19.70833333333333,3,-0.0365217391304348,0.007205971968312,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,86609.0,Divorced,Aurora,7772.58,Standard,2016,12,,,1
104673,48,2.0,2.12643813228478,7,64770,2698.75,64770.0,2698.75,546,22.75,2,0.0495652173913043,0.0084298286243631,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,60006.0,Married,Aurora,14723.41,Standard,2012,10,,,1
104732,37,1.5416666666666667,1.864523873636999,5,54081,2253.375,54081.0,2253.375,403,16.791666666666668,3,0.0195652173913043,0.0074517852850354,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,50930.0,Married,Nova,8382.48,Standard,2016,1,,,1
104739,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,Canada,Quebec,Montreal,H2T 9K8,Female,High School or Below,65565.0,Married,Nova,5498.94,Standard,2013,11,2014.0,7.0,0
104849,35,1.4583333333333333,1.4135729219948654,4,53641,2235.0416666666665,53641.0,2235.0416666666665,363,15.125,1,0.0013043478260869,0.0067672116478067,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,63326.0,Married,Nova,2816.76,Standard,2014,3,,,3
104960,32,1.3333333333333333,2.0144406207413392,7,48555,2023.125,48555.0,2023.125,589,24.541666666666668,6,0.0426086956521739,0.0121305735763567,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,90265.0,Married,Star,2551.23,Standard,2012,6,,,3
105063,27,2.4545454545454546,4.083225106790865,12,40695,3699.5454545454554,61042.5,5549.318181818182,0,0.0,4,0.0272727272727272,0.0,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,236405.0,Divorced,Star,7251.33,2018 Promotion,2018,3,,,4
105073,52,4.727272727272728,5.968097001405207,20,43874,3988.5454545454554,65811.0,5982.818181818182,0,0.0,2,0.3272727272727273,0.0,Canada,Ontario,Toronto,M2M 6J7,Male,College,,Single,Aurora,7562.82,2018 Promotion,2018,3,,,2
105074,46,1.9166666666666667,1.501207243656184,5,66078,2753.25,66078.0,2753.25,1567,65.29166666666667,3,0.0199999999999999,0.0237143981355367,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,79727.0,Married,Nova,2799.75,Standard,2014,10,,,3
105145,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Star,4839.11,Standard,2012,7,,,0
105193,3,0.125,0.6123724356957946,3,6621,275.875,6621.0,275.875,0,0.0,21,0.0247826086956521,0.0,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,92396.0,Married,Nova,8838.09,Standard,2018,6,,,0
105214,35,1.4583333333333333,1.5597983890531346,4,52473,2186.375,52473.0,2186.375,1847,76.95833333333333,3,-0.0552173913043479,0.0351990547519676,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,88863.0,Divorced,Star,5897.99,Standard,2013,8,,,3
105251,10,0.4166666666666667,1.348643978116591,6,20733,863.875,20733.0,863.875,0,0.0,18,-0.0730434782608696,0.0,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,80885.0,Married,Star,5074.25,Standard,2014,10,2017.0,8.0,4
105335,36,1.5,1.7194539072421902,5,62882,2620.083333333333,62882.0,2620.083333333333,2193,91.375,5,-0.0243478260869565,0.0348748449476797,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,53065.0,Single,Nova,11611.95,Standard,2014,10,,,1
105352,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Single,Star,3923.27,Standard,2014,1,2014.0,6.0,0
