Loyalty Number,max_inactive_streak,Cancellation Year,churn,cluster
109029,22,,1,0
109203,3,,0,1
109399,3,,0,4
109478,5,,0,1
109495,2,,0,1
109517,3,,0,1
109552,7,,1,4
109612,11,2018.0,1,3
109660,3,,0,3
109767,1,,0,3
109840,3,,0,3
109896,4,,0,3
109903,3,,0,3
109956,11,2018.0,1,4
110001,4,,0,1
110030,19,2017.0,1,4
110065,15,,1,2
110073,24,2015.0,1,0
110099,3,,0,3
110142,14,2018.0,1,2
110170,18,,1,3
110211,12,2017.0,1,4
110262,13,,1,2
110296,3,,0,3
110394,2,,0,3
110422,14,,1,4
110476,2,,0,3
110603,24,2017.0,1,0
110678,3,,0,3
110691,3,,0,3
110752,3,,0,3
111022,3,,0,1
111034,2,,0,1
111171,3,,0,3
111176,4,,0,3
111255,3,,0,4
111286,3,,0,1
111329,4,,0,3
111387,24,2015.0,1,0
111485,2,,0,3
111507,3,,0,1
111573,5,,0,1
111584,5,,0,3
111646,13,2018.0,1,3
111788,4,,0,3
111899,13,2017.0,1,1
111912,2,,0,3
112026,3,,0,1
112142,8,,1,1
112226,3,,0,3
112393,2,,0,1
112522,14,,1,2
112632,3,,0,1
112661,19,2017.0,1,3
112678,4,,0,1
112709,4,,0,4
112732,2,,0,1
112733,4,,0,4
112797,24,2015.0,1,0
112842,3,,0,3
112856,3,,0,1
112863,2,,0,1
112894,24,,1,0
113040,4,,0,4
113184,20,,1,4
113220,4,,0,1
113293,12,,1,4
113316,14,2018.0,1,3
113363,12,,1,4
113442,21,,1,4
113476,1,,0,1
113529,20,,1,4
113558,3,,0,3
113578,20,2017.0,1,0
113656,24,2015.0,1,0
113679,2,,0,1
113694,3,,0,3
113755,5,,0,3
113779,7,,1,1
113804,6,,1,3
113831,1,,0,3
113839,4,,0,3
113861,6,,1,3
113864,11,,1,1
113874,14,,1,2
113877,4,,0,1
113904,5,,0,1
113919,3,,0,3
114018,6,,1,1
114021,3,,0,3
114131,17,,1,2
114214,9,2018.0,1,4
114219,4,,0,3
114242,4,,0,3
114307,2,,0,1
114399,21,,1,0
114414,2,,0,3
114493,3,,0,3
114553,3,,0,3
114638,2,,0,3
114700,15,,1,4
114743,8,,1,3
114835,7,,1,4
114857,3,,0,1
114903,4,,0,1
114924,11,2018.0,1,4
114927,4,,0,3
114983,4,,0,4
115198,24,,1,0
115322,2,,0,1
115354,4,,0,3
115405,3,,0,3
115427,2,,0,1
115505,17,,1,4
115529,3,,0,1
115633,2,,0,1
115705,2,,0,1
115749,18,,1,4
115805,3,,0,1
115852,5,,0,1
116016,3,,0,1
116045,2,,0,1
116164,12,,1,3
116207,17,2017.0,1,4
116238,19,,1,1
116288,7,,1,3
116332,2,,0,1
116372,3,,0,1
116562,18,,1,1
116703,6,,1,3
116732,12,,1,1
116735,5,,0,1
116895,16,,1,2
116897,20,,1,3
116932,3,,0,1
116948,9,,1,3
116999,3,,0,4
117033,3,,0,3
117053,2,,0,1
117169,1,,0,1
117219,2,,0,3
117240,12,,1,4
117333,1,,0,1
117342,3,,0,1
117351,24,,1,0
117358,23,,1,0
117408,2,,0,4
117456,2,,0,3
117460,3,,0,1
117482,13,,1,2
117618,3,,0,3
117725,24,2014.0,1,0
117782,2,,0,1
117832,24,2015.0,1,0
117910,3,,0,4
117915,15,,1,2
117932,3,,0,3
117939,20,2017.0,1,4
117975,22,2017.0,1,0
118076,2,,0,3
118298,24,2014.0,1,0
118320,2,,0,1
118332,5,,0,3
118355,8,,1,3
118365,3,,0,3
118376,13,2018.0,1,1
118379,5,,0,4
118418,13,,1,2
118511,22,2017.0,1,0
118514,22,,1,4
118612,9,,1,4
118628,2,,0,3
118632,2,,0,3
118675,2,,0,4
118688,24,2016.0,1,0
118729,9,2018.0,1,4
118864,3,,0,1
119009,3,,0,4
119015,17,,1,4
119135,3,,0,3
119198,17,,1,2
119200,5,,0,3
119408,23,,1,0
119460,4,,0,1
119488,8,,1,4
119519,3,,0,3
119633,3,,0,1
119634,13,,1,2
119638,14,,1,2
119690,24,,1,0
119731,4,,0,1
119837,2,,0,3
119845,3,,0,3
119917,24,2015.0,1,0
119997,2,,0,3
120046,10,,1,3
120126,8,,1,1
120140,3,,0,1
120164,2,,0,1
120192,3,,0,1
120206,24,2016.0,1,0
120393,4,,0,3
120434,5,,0,1
120554,2,,0,3
120583,3,,0,1
120594,3,,0,3
120613,4,,0,3
120635,24,2016.0,1,0
120799,9,,1,3
120868,2,,0,1
121068,2,,0,3
121095,2,,0,3
121139,3,,0,1
121183,3,,0,4
121236,13,2017.0,1,3
121351,13,2018.0,1,4
121410,2,,0,3
121469,24,2014.0,1,0
121605,3,,0,1
121710,3,,0,3
121737,5,,0,1
121751,20,,1,3
121856,4,,0,4
121919,10,,1,1
121930,22,,1,0
121935,5,,0,3
121999,24,2016.0,1,0
122009,7,,1,3
122020,2,,0,1
122049,3,,0,3
122094,4,,0,3
122166,3,,0,3
122173,24,,1,0
122206,24,2015.0,1,0
122283,5,,0,1
122357,5,,0,4
122456,2,,0,1
122517,21,2017.0,1,0
122519,14,,1,2
122545,6,,1,1
122561,18,,1,4
122577,4,,0,3
122685,3,,0,3
122797,16,,1,2
122858,19,,1,3
122890,4,,0,1
122946,4,,0,4
122958,2,,0,3
123060,2,,0,3
123083,2,,0,3
123094,13,,1,3
123115,3,,0,1
123151,24,2015.0,1,0
123164,4,,0,3
123344,5,,0,1
123393,4,,0,4
123420,1,,0,1
123525,3,,0,1
123538,24,2016.0,1,0
123586,3,2018.0,1,3
123667,4,,0,3
123668,3,,0,1
123697,4,,0,4
123702,3,,0,3
123727,17,,1,1
123773,3,,0,1
123780,24,,1,0
123784,24,,1,0
123830,22,,1,3
123908,4,,0,3
123928,24,,1,0
123944,11,,1,1
124038,4,,0,1
124056,3,,0,1
124085,7,2018.0,1,3
124088,3,,0,4
124119,4,,0,1
124195,18,,1,4
124207,22,,1,4
124351,24,,1,0
124355,3,,0,3
124377,22,,1,0
124536,24,2014.0,1,0
124678,3,,0,3
124761,3,,0,4
124931,24,2016.0,1,0
124987,24,2014.0,1,0
125059,21,,1,4
125068,17,,1,2
125300,4,,0,3
125393,3,,0,1
125493,22,,1,0
125606,24,,1,0
125919,2,,0,1
125969,2,,0,3
125996,4,,0,3
126097,3,,0,3
126100,24,2014.0,1,0
126148,24,2017.0,1,0
126181,24,2016.0,1,0
126216,3,,0,3
126219,2,,0,1
126239,3,,0,1
126262,2,,0,4
126308,24,2017.0,1,0
126424,5,,0,4
126466,3,,0,1
126490,13,,1,3
126526,24,2015.0,1,0
126581,3,,0,1
126665,3,,0,3
127039,2,,0,1
127052,24,,1,0
127127,2,,0,4
127128,9,,1,3
127137,1,,0,3
127185,4,,0,4
127241,17,,1,4
127279,2,,0,1
127289,5,,0,3
127311,3,,0,1
127350,3,,0,4
127400,5,,0,3
127410,3,,0,4
127496,23,,1,0
127590,5,,0,3
127645,3,,0,3
127663,4,,0,3
127725,3,,0,3
127785,2,,0,4
127827,7,,1,1
127882,6,,1,1
127946,6,,1,3
127966,4,,0,4
128007,2,,0,3
128032,11,,1,3
128039,4,,0,3
128041,2,,0,1
128156,1,,0,1
128210,3,,0,4
128245,23,2017.0,1,0
128280,6,,1,3
128325,10,,1,3
128405,24,2016.0,1,0
128459,1,,0,1
128467,1,,0,1
128475,3,,0,3
128534,3,,0,1
128572,19,,1,3
128587,7,,1,1
128611,2,,0,1
128615,24,,1,0
128633,8,,1,3
128749,21,,1,3
128753,24,,1,0
128754,17,2017.0,1,4
128789,2,,0,3
128950,1,,0,3
128975,5,,0,1
129030,3,,0,3
129071,24,2016.0,1,0
129171,19,,1,3
129328,24,2015.0,1,0
129343,3,,0,3
129372,1,,0,1
129409,14,,1,2
129429,3,,0,3
129434,3,,0,3
129510,4,,0,4
129515,4,,0,4
129533,24,,1,0
129555,4,,0,3
129743,24,2016.0,1,0
129817,5,,0,4
129827,3,,0,1
129914,3,,0,3
129976,2,,0,3
130032,15,,1,4
130077,4,,0,1
130086,3,,0,3
130179,22,,1,0
130208,4,,0,4
130217,22,2017.0,1,0
130326,5,,0,3
130331,13,,1,3
130368,2,,0,3
130419,2,,0,3
130439,11,2018.0,1,4
130446,17,,1,2
130497,13,,1,2
130548,3,,0,3
130593,3,,0,1
130823,3,,0,3
130953,2,,0,3
131001,4,,0,1
131036,3,,0,4
131047,2,,0,3
131098,2,,0,1
131228,8,,1,3
131253,7,,1,1
131257,3,,0,3
131321,3,,0,1
131342,4,,0,1
131463,2,,0,4
131558,5,,0,3
131560,4,,0,1
131637,24,2015.0,1,0
131673,3,,0,3
131680,3,,0,1
131717,24,2016.0,1,0
131721,4,,0,1
131761,3,,0,1
131772,5,,0,1
131815,2,,0,3
131893,3,,0,3
131956,17,,1,4
131990,4,,0,1
131997,4,,0,4
132045,9,,1,4
132209,5,,0,4
132296,3,,0,3
132319,2,,0,3
132320,8,,1,4
132337,3,,0,4
132552,11,,1,3
132563,24,,1,0
132592,4,,0,1
132705,1,,0,1
132756,8,,1,3
132774,3,,0,3
132884,4,,0,1
132914,5,,0,1
132928,22,2017.0,1,0
132935,2,,0,1
133035,2,,0,4
133065,4,,0,3
133066,2,,0,4
133128,14,,1,2
133324,14,,1,2
133429,2,,0,1
133463,24,2015.0,1,0
133518,1,,0,3
133608,3,,0,3
133698,3,,0,1
133730,4,,0,3
133732,2,,0,4
133821,3,,0,3
133859,3,,0,3
133956,13,,1,2
134000,21,,1,4
134012,23,,1,0
134085,4,,0,1
134148,6,,1,1
134180,4,,0,3
134202,6,,1,3
134241,3,,0,1
134273,3,,0,3
134279,19,,1,3
134397,5,,0,3
134470,2,,0,4
134717,15,,1,3
134738,2,,0,1
134760,2,,0,4
134827,24,2015.0,1,0
134847,21,,1,0
134857,3,,0,1
135016,2,,0,3
135076,6,,1,3
135134,14,,1,2
135250,4,,0,3
135257,15,,1,2
135279,13,,1,3
135312,2,,0,1
135381,3,,0,1
135382,2,,0,3
135392,1,,0,3
135421,2,,0,1
135554,3,,0,4
135574,5,,0,4
135578,3,,0,1
135635,24,2015.0,1,0
135808,3,,0,3
135841,4,,0,3
135872,23,2017.0,1,0
135878,7,2018.0,1,3
135977,3,,0,3
136020,3,,0,3
136022,2,,0,1
136049,17,,1,3
136065,24,,1,0
136089,2,,0,3
136106,2,,0,1
136121,4,,0,1
136169,6,,1,1
136230,21,,1,0
136232,3,,0,3
136334,3,,0,4
136345,24,,1,0
136430,3,,0,3
136464,24,,1,0
136470,5,2018.0,1,3
136473,13,,1,2
136516,2,,0,1
136547,4,,0,4
136608,8,,1,3
136637,2,,0,3
136715,3,,0,3
136772,10,2018.0,1,3
136879,13,2018.0,1,1
136906,1,,0,3
137020,20,,1,4
137040,7,,1,4
137106,2,,0,3
137161,13,,1,2
137185,3,,0,3
137209,21,,1,4
137227,4,,0,3
137251,22,,1,3
137383,24,2015.0,1,0
137529,13,2017.0,1,1
137646,3,,0,1
137744,16,,1,4
137751,6,,1,3
137845,3,,0,3
137850,2,,0,1
137852,15,,1,2
137858,13,2018.0,1,4
137944,3,,0,3
137952,3,,0,4
137968,16,,1,1
137973,13,,1,3
137985,3,,0,3
137999,2,,0,1
138025,13,2017.0,1,4
138065,10,2018.0,1,4
138121,3,,0,3
138204,4,,0,4
138369,3,,0,3
138421,5,,0,4
138449,24,,1,0
138475,3,,0,3
138565,3,,0,4
138653,21,,1,4
138737,2,,0,3
138746,6,,1,3
138759,22,,1,0
138768,2,,0,1
138777,24,2016.0,1,0
138810,17,,1,4
138853,13,,1,1
138873,14,2017.0,1,4
138894,5,,0,1
138896,3,,0,1
138908,2,,0,4
138981,2,,0,1
138993,5,,0,3
139022,10,,1,1
139023,15,,1,2
139087,3,,0,1
139135,3,,0,3
139270,24,2015.0,1,0
139356,24,2016.0,1,0
139479,9,2018.0,1,4
139511,3,,0,4
139518,3,,0,1
139532,3,,0,3
139600,22,,1,1
139682,24,,1,0
139699,21,,1,4
139863,5,,0,3
139932,3,,0,1
139974,23,,1,0
140005,9,,1,4
140042,24,2014.0,1,0
140077,15,,1,2
140079,3,,0,3
140130,10,2018.0,1,1
140191,8,,1,1
140208,5,,0,4
140223,24,2016.0,1,0
140290,2,,0,3
140375,24,2016.0,1,0
140381,3,,0,3
140391,4,,0,4
140392,2,,0,3
140419,4,,0,1
140483,3,,0,3
140534,4,,0,1
140598,3,,0,3
140674,4,,0,3
140735,24,2014.0,1,0
140750,5,,0,3
140768,4,,0,3
140769,24,,1,0
140823,2,,0,4
140891,3,,0,4
140977,4,,0,1
141023,2,,0,3
141043,10,2018.0,1,3
141047,5,,0,1
141139,2,,0,4
141181,4,,0,3
141233,2,,0,3
141266,2,,0,3
141456,14,,1,1
141497,15,,1,4
141614,7,,1,3
141655,3,,0,3
141703,1,,0,3
141742,6,,1,1
141844,2,,0,4
141877,2,,0,3
141945,6,,1,1
142122,24,,1,0
142190,2,,0,1
142224,2,,0,4
142290,13,,1,2
142354,3,,0,1
142371,2,,0,3
142434,23,2017.0,1,0
142511,7,,1,3
142545,2,,0,1
142609,17,,1,2
142621,13,,1,2
142649,24,2014.0,1,0
142686,3,,0,3
142715,3,,0,1
142717,3,,0,4
142726,16,,1,2
142749,4,,0,1
142763,24,,1,0
142800,24,,1,0
142812,3,,0,3
142855,6,,1,1
142906,3,,0,3
142925,20,,1,4
142950,1,,0,3
143087,3,,0,3
143151,2,,0,1
143266,22,,1,0
143389,1,,0,1
143422,2,,0,1
143730,3,,0,3
143784,3,,0,3
143981,2,,0,3
144261,24,,1,0
144301,24,2015.0,1,0
144328,3,,0,1
144355,3,,0,1
144402,6,,1,1
144514,5,,0,3
144523,3,,0,1
144565,3,,0,3
144593,3,,0,3
144615,2,,0,1
144633,3,,0,3
144641,12,,1,3
144695,24,2016.0,1,0
144702,24,2015.0,1,0
144756,5,,0,3
144830,3,,0,3
144879,5,,0,4
144936,11,2018.0,1,3
144977,3,,0,1
145017,22,,1,1
145177,2,,0,1
145192,24,,1,0
145193,22,,1,0
145220,4,,0,1
145292,24,2013.0,1,0
145322,2,,0,4
145323,4,,0,1
145449,20,,1,4
145480,2,,0,3
145542,24,,1,0
145552,4,,0,1
145688,13,,1,3
145988,3,,0,1
146028,3,,0,1
146037,5,,0,3
146067,2,,0,4
146086,4,,0,1
146090,16,,1,1
146099,16,,1,2
146215,2,,0,3
146354,13,,1,3
146400,10,,1,3
146527,2,,0,1
146560,14,,1,4
146572,24,2014.0,1,0
146702,15,,1,2
146760,3,,0,3
146839,4,,0,4
147064,3,,0,1
147241,3,,0,1
147272,4,,0,3
147408,23,,1,0
147602,2,,0,1
147700,3,,0,3
147754,2,,0,3
147891,3,,0,3
147898,5,,0,3
147986,18,2017.0,1,3
148111,24,,1,0
148201,2,,0,1
148208,13,,1,2
148216,12,,1,4
148234,2,,0,1
148258,3,2018.0,1,3
148289,14,,1,3
148299,3,,0,3
148322,11,,1,1
148368,2,,0,3
148381,3,,0,1
148382,9,,1,4
148453,21,,1,3
148486,6,,1,3
148487,3,,0,1
148570,13,2018.0,1,4
148612,3,,0,1
148677,24,,1,0
148690,7,,1,1
148749,15,,1,2
148753,2,,0,1
148766,24,2015.0,1,0
148767,2,,0,1
148810,24,,1,0
148865,12,,1,3
148942,2,,0,3
148982,17,,1,2
149174,22,,1,4
149225,3,,0,1
149318,14,,1,2
149348,2,,0,1
149426,5,,0,3
149430,15,2018.0,1,3
149462,3,,0,4
149542,24,2014.0,1,0
149549,14,,1,3
149655,9,,1,4
149782,2,,0,1
149841,12,2018.0,1,1
149846,3,,0,1
149884,6,,1,4
149912,16,,1,4
149981,24,2015.0,1,0
149993,2,,0,1
150004,2,,0,1
150074,3,,0,1
150134,2,,0,3
150141,19,,1,4
150233,15,2017.0,1,1
150253,5,,0,3
150291,4,,0,4
150301,2,,0,1
150383,18,,1,2
150596,24,2014.0,1,0
150656,9,,1,3
150671,24,2015.0,1,0
150751,20,,1,3
150754,3,,0,1
150767,3,,0,3
150883,3,,0,3
150909,3,,0,4
151010,19,,1,4
151030,13,,1,4
151036,15,,1,4
151183,2,,0,3
151327,3,,0,1
151399,2,,0,4
151554,3,,0,3
151571,13,,1,3
151627,4,,0,3
151655,2,,0,1
151967,12,,1,1
152007,14,2018.0,1,4
152014,1,,0,1
152016,14,,1,2
152139,2,,0,3
152148,5,,0,3
152276,2,,0,4
152305,3,,0,1
152307,16,,1,2
152338,3,,0,1
152355,3,,0,1
152406,3,,0,3
152423,5,,0,3
152499,8,2018.0,1,1
152681,2,,0,3
152685,24,2016.0,1,0
152740,12,,1,3
152778,3,,0,3
152936,24,,1,0
153003,3,,0,3
153072,7,,1,4
153075,24,2015.0,1,0
153146,2,,0,3
153193,3,,0,3
153261,5,,0,3
153395,3,,0,1
153439,22,,1,4
153462,9,,1,3
153582,16,,1,2
153586,2,,0,3
153600,3,,0,4
153626,3,,0,4
153645,23,2017.0,1,0
153656,17,2017.0,1,4
153760,21,2017.0,1,3
153884,3,,0,3
153953,13,,1,3
153968,24,2016.0,1,0
153987,12,,1,4
153998,13,,1,2
154136,18,2017.0,1,4
154172,2,,0,1
154173,18,,1,4
154175,5,,0,4
154194,19,,1,4
154230,2,,0,3
154480,4,,0,3
154606,14,,1,3
154643,13,,1,2
154644,4,,0,3
154652,2,,0,3
154680,2,,0,3
154726,18,2017.0,1,4
154736,2,,0,3
154782,18,,1,3
154855,12,,1,1
154864,6,,1,3
154868,14,,1,2
154889,17,2017.0,1,4
154958,24,2015.0,1,0
154981,2,,0,1
155020,15,2018.0,1,2
155118,4,,0,1
155253,10,2018.0,1,1
155348,24,2016.0,1,0
155354,2,,0,3
155374,4,,0,3
155488,2,,0,3
155623,24,2015.0,1,0
155654,13,,1,2
155763,3,,0,1
155791,2,,0,3
155795,13,,1,2
155820,3,,0,1
155964,13,,1,2
155965,12,,1,1
156031,24,2015.0,1,0
156071,24,,1,0
156138,4,,0,4
156305,7,,1,1
156313,3,,0,4
156355,5,,0,3
156457,3,,0,3
156666,22,,1,0
156673,3,,0,1
156684,4,,0,1
156730,19,,1,1
156750,6,,1,1
156868,2,,0,1
156870,19,,1,4
156879,17,,1,4
156945,9,,1,4
156948,1,,0,1
156959,2,,0,3
156980,18,,1,4
157005,2,,0,3
157092,2,,0,1
157200,4,,0,3
157212,2,,0,1
157300,15,2018.0,1,2
157566,22,,1,3
157672,7,,1,3
157674,2,,0,1
157704,3,,0,1
157712,2,,0,3
157729,15,,1,2
157731,3,,0,3
157751,2,,0,1
157766,3,,0,1
157771,19,2017.0,1,3
157816,4,,0,1
157879,5,,0,4
157902,23,,1,3
157911,5,,0,3
157971,24,2016.0,1,0
158113,1,,0,1
158314,9,,1,3
158400,3,,0,3
158401,18,,1,3
158508,2,,0,3
158560,2,,0,3
158680,6,2018.0,1,3
158901,3,,0,3
158969,3,,0,4
158995,23,,1,0
159227,4,,0,1
159233,9,,1,3
159272,2,,0,1
159275,3,,0,3
159344,2,,0,3
159351,2,,0,3
159359,14,,1,4
159397,5,,0,4
159486,13,2018.0,1,4
159500,13,,1,2
159525,2,,0,1
159531,3,,0,3
159533,23,,1,0
159608,2,,0,3
159680,2,,0,1
159688,2,,0,1
159745,1,,0,4
159751,3,,0,4
159800,20,,1,4
159856,2,,0,1
159942,20,,1,3
159960,4,,0,3
160135,6,,1,1
160143,2,,0,1
160154,3,,0,1
160181,4,,0,1
160203,2,,0,1
160250,2,,0,3
160266,21,,1,4
160320,3,,0,1
160471,19,,1,4
160640,3,,0,1
160686,4,,0,3
160707,3,,0,3
160740,5,,0,1
160773,5,,0,4
160779,24,2017.0,1,0
160905,2,,0,1
160927,3,,0,3
160993,4,,0,3
161045,7,2018.0,1,1
161103,4,,0,1
161180,2,,0,1
161241,2,,0,4
161276,5,,0,1
161338,5,,0,1
161373,13,2017.0,1,3
161414,10,,1,3
161415,3,,0,3
161437,4,,0,3
161525,24,2014.0,1,0
161546,24,2014.0,1,0
161557,24,,1,0
161574,4,,0,3
161650,17,2017.0,1,3
161728,21,,1,4
161766,5,,0,1
161769,3,,0,3
161774,24,2015.0,1,0
161780,17,,1,2
161956,12,2018.0,1,4
162013,3,,0,3
162155,24,2016.0,1,0
162166,3,,0,4
162167,4,,0,3
162180,9,,1,1
162420,2,,0,1
162456,2,,0,3
162472,18,,1,3
162485,14,2018.0,1,4
162489,3,,0,3
162496,3,,0,1
162568,24,2016.0,1,0
162658,3,,0,1
163002,3,,0,3
163058,2,,0,1
163083,7,,1,3
163137,24,2016.0,1,0
163260,2,,0,1
163301,20,,1,4
163388,2,,0,1
163405,21,,1,0
163445,18,,1,4
163481,24,2016.0,1,0
163598,3,,0,1
163608,4,,0,3
163615,5,,0,3
163639,4,,0,3
163645,3,,0,3
163723,24,2015.0,1,0
163757,3,,0,4
163776,2,,0,1
163970,3,,0,3
164013,2,,0,1
164017,5,,0,1
164034,2,,0,4
164064,24,2016.0,1,0
164094,3,2018.0,1,3
164192,4,,0,4
164211,24,2016.0,1,0
164224,15,,1,1
164226,3,,0,3
164298,12,2017.0,1,4
164313,2,,0,4
164363,5,,0,1
164374,3,,0,1
164388,3,,0,1
164429,2,,0,3
164500,21,,1,4
164512,3,,0,1
164559,18,,1,2
164657,2,,0,3
164743,2,,0,3
164794,17,,1,4
164947,2,,0,1
164973,5,,0,3
164983,4,,0,4
165019,4,,0,3
165022,20,,1,4
165056,2,,0,3
165138,4,,0,3
165188,3,,0,1
165224,20,2017.0,1,4
165260,3,,0,3
165265,3,,0,4
165339,14,,1,2
165443,4,,0,3
165484,4,,0,3
165550,2,,0,1
165554,7,,1,4
165596,2,,0,3
165742,4,,0,1
165759,5,,0,4
165827,5,,0,1
165893,4,,0,1
165900,2,,0,1
166011,12,,1,4
166037,2,,0,4
166110,24,2016.0,1,0
166175,13,,1,2
166239,3,,0,1
166273,16,,1,2
166333,3,,0,3
166475,7,,1,3
166535,2,,0,1
166537,2,,0,4
166577,3,,0,3
166677,15,2017.0,1,1
166693,3,,0,4
166705,4,,0,1
166712,4,,0,3
166825,11,,1,1
166829,7,,1,4
166846,4,,0,1
166865,3,,0,3
166911,3,,0,3
166938,6,,1,3
166953,3,,0,4
166955,2,,0,3
166966,13,,1,2
167001,17,2017.0,1,3
167016,4,,0,1
167026,4,,0,1
167062,5,,0,4
167177,13,,1,3
167219,24,2016.0,1,0
167257,2,,0,1
167335,1,,0,1
167363,4,,0,3
167465,10,,1,3
167491,24,2013.0,1,0
167515,1,,0,3
167569,24,,1,0
167575,14,2017.0,1,4
167578,5,,0,1
167587,2,,0,3
167660,3,,0,3
167670,24,2015.0,1,0
167795,3,,0,3
167879,19,,1,1
167933,2,,0,4
168026,3,,0,1
168123,14,,1,4
168160,13,,1,2
168290,2,,0,1
168302,18,,1,4
168316,2,,0,3
168349,2,,0,3
168385,4,,0,1
168418,7,,1,3
168641,24,2015.0,1,0
168727,23,,1,0
168843,2,,0,3
168887,14,,1,2
169054,4,,0,3
169129,2,,0,1
169131,20,,1,4
169137,4,,0,3
169247,3,,0,1
169253,19,,1,3
169270,24,2015.0,1,0
169302,12,,1,1
169393,2,,0,3
169418,13,,1,4
169525,2,,0,3
169529,16,,1,4
169603,18,,1,4
169661,6,,1,3
169665,3,,0,1
169697,4,,0,3
169699,17,2017.0,1,1
169857,4,,0,4
169865,24,2014.0,1,0
169932,2,,0,3
169948,2,,0,3
169950,24,,1,0
170027,2,,0,3
170079,2,,0,3
170091,23,,1,0
170152,22,,1,1
170211,2,,0,1
170232,23,2017.0,1,0
170311,3,,0,3
170321,3,,0,3
170368,13,,1,3
170404,4,,0,3
170443,13,,1,1
170531,4,,0,4
170534,24,,1,0
170544,9,,1,3
170566,5,,0,1
170585,4,,0,3
170655,24,,1,0
170656,3,,0,3
170710,8,,1,1
170791,3,,0,1
170799,3,,0,1
170801,13,2018.0,1,1
170903,22,,1,4
170965,2,,0,1
170982,24,,1,0
171027,24,2016.0,1,0
171042,24,,1,0
171047,4,,0,1
171137,13,,1,4
171192,13,,1,2
171257,3,,0,3
171264,1,,0,3
171350,3,,0,1
171419,4,,0,4
